web-scraper-order,web-scraper-start-url,complaint,complaint-href,text,tex2,images-src
1731179571-1,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         18:50,  7 Mar 2017,
                Përditësimi i fundit 16:00,  9 Mar 2017",https://ndreqe.com/report/171,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:50, Mar  7 mars 2017","*Rruga ne lokacionin e shenuar nuk eshte shtruar, nuk eshte emertuar e as nuk eshte pajisur me ndriqim publik. lIdhur me kete kam bere kerkese ne komune por ende nuk kam marr pergjigje.",/photo/171.0.jpeg?876fef51
1731179574-2,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         17:09, 10 Mar 2017,
                Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.0.jpeg?eefb909c
1731179574-3,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         17:09, 10 Mar 2017,
                Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.1.jpeg?dd7ac08d
1731179577-4,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         04:57,  2 Pri 2017,
                Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.0.jpeg?e7281615
1731179577-5,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik
         04:57,  2 Pri 2017,
                Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.1.jpeg?6898da66
1731179581-6,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         12:06,  4 Pri 2017,
                Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.0.jpeg?1117bcd2
1731179581-7,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina
         12:06,  4 Pri 2017,
                Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.1.jpeg?97050349
1731179584-8,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         07:56, 17 Pri 2017,
                Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.0.jpeg?adea76f1
1731179584-9,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         07:56, 17 Pri 2017,
                Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.1.jpeg?4ea62fba
1731179584-10,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë
         07:56, 17 Pri 2017,
                Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.2.jpeg?39058ec4
