web-scraper-order,web-scraper-start-url,complaint,complaint-href,text,tex2,images-src,complaint_en,text_en,tex2_en,municipality,complaint_number,image_url,image_description,severity_score,date,category
1731179571-1,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          18:50,  7 Mar 2017,                 Përditësimi i fundit 16:00,  9 Mar 2017",https://ndreqe.com/report/171,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:50, Mar  7 mars 2017","*Rruga ne lokacionin e shenuar nuk eshte shtruar, nuk eshte emertuar e as nuk eshte pajisur me ndriqim publik. lIdhur me kete kam bere kerkese ne komune por ende nuk kam marr pergjigje.",/photo/171.0.jpeg?876fef51,"Public Notice 18:50, 7 Mar 2017, Last updated 16:00, 9 Mar 2017","Reported in Public category by anonymous on 18:50, Mar 7 March 2017","The road in the location of the shelter is not paved, not marked and not equipped with public lighting. I have made an inquiry with the commune but I have not received an answer yet.",Prishtin%C3%ABs,171,https://ndreqe.com/photo/171.0.full.jpeg?876fef51,"Based on the image provided, it appears to be a screenshot of a Google Maps view of a municipality in Kosovo, with a red line and yellow annotations superimposed over the image. The annotations appear to be in Albanian and include several phrases such as ""Rruga që dunet sheruar ndricuar dhe emërtuar"" (which translates to ""Road that needs to be paved and marked"") and ""Magjstralja Prishtinë - Gjilan km.5-6 Hajvali"" (which appears to be the name of the road or location).

Upon closer inspection, it is clear that the road in question is unpaved and lacks public lighting. The presence of the annotations suggests that the complainant has brought this issue to the attention of the local authorities, but has yet to receive a response.

The image also includes a map view of the surrounding area, which appears to be a rural or suburban neighborhood with several buildings and roads. The map view provides context for the location of the issue and suggests that the road in question is a key artery for the community.

Overall, the image suggests that the complainant is concerned about the safety and accessibility of the road, particularly at night, and is seeking action from the local authorities to address this issue.

**Severity Assessment**

Based on the information provided in the image, I would assess the severity of the problem as follows:

* **Safety:** The lack of public lighting on the unpaved road poses a risk to pedestrians and drivers, particularly at night. This is a moderate to high-level safety concern.
* **Accessibility:** The unpaved road may be difficult to navigate for drivers, especially during inclement weather. This is a moderate-level accessibility concern.
* **Community Impact:** The issue may have a significant impact on the community, particularly if the road is a key artery for access to schools, businesses, and other important facilities. This is a high-level community impact concern.
* **Urgency:** Given the lack of response from the local authorities, the issue may be considered urgent to address. This is a high-level urgency concern.

Overall, I would rate the severity of the problem as **High** due to the combination of safety, accessibility, community impact, and urgency concerns.",10,2024-05-01,Rubbish
1731179574-2,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          17:09, 10 Mar 2017,                 Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.0.jpeg?eefb909c,"Ndriçim publik  17:09, 10 Mar 2017,                 Last updated 08:37, 17 Mar 2017","Reported in Public illumination by Anonymous on 17:09, Before March 10, 2017",The light has not been working since it was installed.,Prishtin%C3%ABs,189,https://ndreqe.com/photo/189.0.full.jpeg?eefb909c,"The image depicts a rural or suburban area with a field of dry grass and a few bare trees in the foreground. A wooden utility pole stands in the center, supporting power lines that stretch across the image. The pole is adorned with a sign on its front side, although the text is illegible. In the background, several houses are visible, with some featuring red roofs and others having more neutral-colored roofing. The sky above is overcast.

The image appears to be a complaint about a non-functioning streetlight, as indicated by the sign on the pole. The houses in the background suggest that the streetlight is located in a residential area. The fact that the light has not been working since it was installed implies that the issue has been ongoing for some time, potentially causing inconvenience or safety concerns for residents.

Overall, the image presents a scene of a rural or suburban area with a specific issue related to public illumination. The presence of the sign and the overcast sky contribute to the somber tone of the image, while the houses in the background provide context for the location of the issue.",9,2024-05-01,Rubbish
1731179574-3,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          17:09, 10 Mar 2017,                 Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.1.jpeg?dd7ac08d,"Public notice 17:09, 10 Mar 2017,                 Last updated 08:37, 17 Mar 2017","Reported by Public illumination from anonymous on 17:09, Before March 10, 2017",The light has not been working since it was installed.,Prishtin%C3%ABs,189,https://ndreqe.com/photo/189.1.jpeg?dd7ac08d,"The image depicts a streetlight on a wooden pole, with two wires extending from the pole to the left and right. The light fixture is a dark gray square with a flat top and a cylindrical body. It is attached to a wooden pole that extends from the bottom of the image, with a metal bracket holding the light fixture in place.

The wires connecting the light to the pole are thin and dark gray, with a slight sheen to them. They appear to be made of metal or a similar material, and are securely attached to the pole using small metal clips.

The background of the image is a solid gray color, which suggests that the photo was taken during overcast or cloudy weather. This could be an issue for the resident in the area, as it may make it difficult to see at night and create safety concerns.

Overall, the image suggests that the streetlight is not functioning properly, which could be a nuisance for the resident in the area. The lack of lighting could make it difficult to navigate the area at night, and may also create safety concerns. Based on this information, the severity assessment model could assign a moderate to high level of severity to this issue.",2,2024-05-01,Rubbish
1731179577-4,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          04:57,  2 Pri 2017,                 Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.0.jpeg?e7281615,"Public notice 04:57,  2 Apr 2017,                 Last updated 09:22,  3 Apr 2017","Reported to the public category from anonymous on 04:57, Die 2 April 2017",Ferid Curri Street has no public parking!,Prishtin%C3%ABs,365,https://ndreqe.com/photo/365.0.full.jpeg?e7281615,"The image depicts a nighttime scene of a residential area, with a focus on the lack of public parking on Ferid Curri Street. The street is dark and empty, with no visible cars or pedestrians. In the background, there are several buildings, including what appears to be a large white building with many windows. The overall atmosphere suggests a quiet and deserted neighborhood.

The problem reported by the anonymous user is that there is no public parking available on Ferid Curri Street. This could be a significant issue for residents and visitors who need to park their vehicles, as they may have to search for alternative parking options or walk long distances to reach their destinations. This could be especially challenging for people with mobility issues or those who rely on cars for transportation.

In terms of disruption to residents, the lack of public parking could lead to increased traffic congestion in the area, as people may be forced to circle around looking for a place to park. This could also lead to noise pollution and decreased air quality due to idling engines. Additionally, the lack of parking could make it difficult for residents to host guests or attend events in the area.

Overall, the image suggests that the lack of public parking on Ferid Curri Street is a significant issue that needs to be addressed by local authorities. By providing adequate parking options, the municipality can improve the quality of life for residents and visitors, reduce traffic congestion, and promote a safer and more sustainable environment.

*Answer*: The image shows a residential area with a lack of public parking on Ferid Curri Street, which could lead to increased traffic congestion, noise pollution, and decreased air quality, and is a significant issue that needs to be addressed by local authorities.",7,2024-05-01,Rubbish
1731179577-5,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          04:57,  2 Pri 2017,                 Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.1.jpeg?6898da66,"Public notice  04:57,  2 Apr 2017,         Last updated 09:22,  3 Apr 2017","Reported in the public illumination category by anonymous on 04:57, Die 2 April 2017",Ferid Curri Street has no public parking!,Prishtin%C3%ABs,365,https://ndreqe.com/photo/365.1.jpeg?6898da66,"I'm Alena, a Virtual Assistant. I'm happy to help you process the image and provide a detailed description of the problem.

As I analyze the image, I notice that it appears to be a nighttime photo of a city street, likely Ferid Curri Street, as mentioned in the report. The main issue reported is the lack of public parking on the street.

Upon closer inspection, I see that the street is lined with buildings and construction sites, indicating that the area is likely under development or renovation. However, I don't see any visible signs of public parking infrastructure, such as parking lots, garages, or designated parking spaces.

This lack of parking infrastructure could be a significant inconvenience for residents and visitors who rely on public transportation or need to park their vehicles. It may also contribute to traffic congestion and safety concerns, especially if people are forced to park their vehicles on the side of the road or in nearby areas that may not be well-lit or secure.

Considering the context of the report, I would assess the severity of the problem as moderate to high. The lack of public parking infrastructure is a significant concern for the community, and it may impact the quality of life for residents and visitors. However, without additional information about the specific location and surrounding infrastructure, it's difficult to provide a more detailed assessment.

Overall, I recommend that the municipality takes the report seriously and investigates the feasibility of providing public parking infrastructure on Ferid Curri Street. This could involve consulting with local stakeholders, conducting traffic studies, and exploring potential solutions such as parking lot construction or the implementation of alternative transportation options.",2,2024-05-01,Rubbish
1731179581-6,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina          12:06,  4 Pri 2017,                 Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.0.jpeg?1117bcd2,"Updated at 09:53, 19 Apr 2017,  Original timestamp 12:06, 4 Apr 2017","Reported to the category Remains by Anonymous on 12:06, Mar 4 April 2017","For the remaining residents in the village, the municipality has announced that it will be demolished in 3 days. The municipal official has visited the village and promised to officially inform the authorities about the irregular actions of the municipality. Until now, I have not received such a response (an excuse that someone else is responsible and that the municipality ""does not have the right"" to remove the foreign object that has been given over the phone. No maintenance, I consider this issue or any further step is not negotiable. On the other hand, this settlement is in urgent need of a road (for access to the object) as well as an elevated pedestrian crossing due to the risk of crossing the road in this part!",Prishtin%C3%ABs,402,https://ndreqe.com/photo/402.0.full.jpeg?1117bcd2,"The image depicts a residential area with a large building in the background, surrounded by a grassy field littered with trash and debris. The foreground of the image shows a pile of garbage, including plastic bags, cardboard boxes, and other unidentifiable items. In the background, a large white building with brown trim and balconies can be seen, with several cars parked in front of it. A black car is partially visible in the bottom-right corner of the image.

The overall atmosphere of the image suggests that the area is in disarray and requires urgent attention. The presence of trash and debris in the foreground and the state of disrepair of the building in the background indicate a lack of maintenance and upkeep. The fact that the municipality has announced plans to demolish the building in three days adds to the sense of urgency and neglect.

The image raises concerns about the living conditions of the residents in the area, who may be forced to relocate due to the demolition of their homes. The lack of basic amenities such as a road and pedestrian crossing also poses a risk to the safety of the residents.

Overall, the image presents a stark picture of urban decay and neglect, highlighting the need for immediate attention and action to address the issues facing the residents of this community.",1,2024-05-01,Rubbish
1731179581-7,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina          12:06,  4 Pri 2017,                 Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.1.jpeg?97050349,"Last updated 09:53, 19 Apr 2017","Reported in category Remains by anonymous on 12:06, Mar 4 April 2017","For the remaining debris in the village, the community has been informed that there are 3 trucks. The community official has visited the village and promised to inform officially about the irregular actions of the community. Until now, I have not received such an answer (a reason that someone else is responsible and that the community does not have the right to clean up foreign waste that has been given through the phone. No maintenance, I consider this matter or any further step is not changeable. On the other hand, this settlement is in urgent need of a road (for access to the object) as well as an elevated pedestrian crossing due to the risk of crossing the road in this part!",Prishtin%C3%ABs,402,https://ndreqe.com/photo/402.1.jpeg?97050349,"The image depicts a scene of neglect and disarray in a residential area, with a large pile of trash and debris scattered on the ground. The photograph was taken in Kosovo, as indicated by the caption.

In the foreground, a gray metal dumpster is visible, surrounded by a substantial amount of trash and debris. The dumpster appears to be overflowing with waste, including what looks like discarded household items, food packaging, and other unidentifiable objects. The surrounding area is littered with trash, with some items strewn about and others piled high.

Beyond the dumpster and trash, several multi-story apartment buildings can be seen in the background. These buildings appear to be residential in nature, with balconies and windows visible on each floor. A grassy area separates the buildings from the trash-filled area in the foreground.

The overall atmosphere of the image suggests a sense of neglect and disarray. The presence of trash and debris in the residential area is likely to be an eyesore for the residents and may pose health and safety risks. The fact that the community has been informed of the problem but no action has been taken suggests a lack of attention to the issue.

The image also highlights the need for infrastructure improvements, as the person who submitted the photo notes that the area is in urgent need of a road and an elevated pedestrian crossing due to the risk of crossing the road in this part. This further emphasizes the need for attention to the area's infrastructure and maintenance.

Overall, the image presents a concerning scene of neglect and disarray in a residential area, highlighting the need for attention to the area's infrastructure and maintenance.",5,2024-05-01,Rubbish
1731179584-8,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.0.jpeg?adea76f1,"On the road 07:56, 17 Apr 2017,                 Last updated 11:36, 19 Apr 2017","Reported in Category: Roadside ditches from Anon on 07:56, 17 April 2017","Sejdiu Street, Rimanishte... is promised to be regulated for three consecutive years... the main agreements have been made, the landowners' demands have been presented, all requests and signatures have been collected... so far nothing except promises... this road is used by around 130 families from the village for agricultural work as well as 15 families who live there and have homes... currently, with small vehicles, it is impassable due to the high frequency of tractors from the entire village... it is impossible to live in this place, if the only solution is not resolved, I will have to sell the house and the land and leave... the road is about 550 meters long.",Prishtin%C3%ABs,467,https://ndreqe.com/photo/467.0.full.jpeg?adea76f1,"The image shows a dirt road in a rural area, surrounded by trees and grass. The road is unpaved and has a rough texture, with tire tracks visible in the mud. There are also small rocks and twigs scattered across the road.

The road appears to be in disrepair, with potholes and uneven surfaces. The surrounding vegetation is overgrown, with tall grass and weeds encroaching on the road. In the background, there are trees and bushes, and the sky is overcast.

The overall condition of the road suggests that it has not been properly maintained, which could pose a hazard to drivers and pedestrians. The presence of potholes and uneven surfaces could cause vehicles to become stuck or damaged, while the overgrown vegetation could obstruct visibility and create a risk of accidents.

The image also raises concerns about accessibility and safety in the area. The fact that the road is impassable due to the high frequency of tractors suggests that it may not be suitable for everyday use. The presence of 130 families who rely on the road for agricultural work adds to the concern, as they may be unable to access their land or conduct their daily activities due to the poor condition of the road.

Furthermore, the image highlights the issue of lack of maintenance and neglect in the area. The fact that the road has been promised to be regulated for three consecutive years but nothing has been done suggests a lack of follow-through or accountability. This could lead to further neglect and degradation of the road, exacerbating the problems faced by the residents.

Overall, the image presents a concerning picture of a rural road in disrepair, which raises serious concerns about accessibility, safety, and the well-being of the residents who rely on it.",9,2024-05-01,Rubbish
1731179584-9,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.1.jpeg?4ea62fba,"Off the beaten path 07:56, 17 Apr 2017,                 Last updated 11:36, 19 Apr 2017","Reported to Category Roadside Ditches from Anonymous at 07:56, H�n 17 April 2017","Sejdiu Street, Rimanishte... is promised to be regulated for three consecutive years... the project is complete, the landowners have given their consent, all requirements and signatures have been collected... nothing has been done except for the promises... this road serves around 130 rural families who use it for agricultural work as well as 15 families who live there and have houses... at the moment it is impassable with small vehicles due to the high frequency of tractors from the entire village... it is impossible to live in this place, if the only solution is not resolved, we will be left with no choice but to sell the house and the land and leave... it is a long road, around 550 meters.",Prishtin%C3%ABs,467,https://ndreqe.com/photo/467.1.jpeg?4ea62fba,"The image shows a rural dirt road, likely in Kosovo, that is in a state of disrepair. The road is composed of dirt and gravel, and it appears to be unpaved or poorly maintained. The road is heavily rutted, with deep tire tracks and potholes, indicating that it has been used by heavy vehicles. There are also several large rocks and debris scattered along the road, which could pose a hazard to vehicles.

The road is surrounded by trees and bushes, which are overgrown and appear to be in need of maintenance. The surrounding area is also littered with trash and debris, which adds to the overall sense of neglect and disrepair.

The road is also visibly muddy, suggesting that it may be prone to flooding or waterlogging during heavy rainfall. This could make it difficult for vehicles to traverse the road, especially during the winter months when the ground is saturated.

Overall, the image suggests that the road is in a state of disrepair and may be hazardous to use. The accumulation of trash and debris along the road and the overgrowth of vegetation suggest that the road has not been properly maintained for some time. Additionally, the presence of rocks and potholes indicates that the road may be prone to accidents and injuries.

The severity of the problem is high, as the road is impassable for small vehicles, and the situation is exacerbated by the fact that it serves a large number of rural families who rely on the road for their daily needs. The fact that the project to improve the road has been delayed for three consecutive years suggests a lack of attention and resources from the municipality, which further exacerbates the problem.",8,2024-05-01,Rubbish
1731179584-10,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.2.jpeg?39058ec4,"On the road 07:56, 17 Apr 2017,                 Last updated 11:36, 19 Apr 2017","Reported to category Roadside Ditches from Anonymous at 07:56, H�n 17 April 2017","Sejdiu Street, Rimanishte... is promised to be regulated for three years in a row... the main agreements have been made, the landowners' requests have been submitted, all the requirements and signatures have been completed... except for the promises, nothing has been done so far. This road serves around 130 families of the village who use it for agricultural work, as well as 15 families who live there and have houses... currently, with small vehicles, it is impassable due to the high frequency of tractors from the entire village... it is impossible to live in this place, if this solution is not found, we will be left with no choice but to sell the house and the land and leave from there... it is a long road, around 550 meters.",Prishtin%C3%ABs,467,https://ndreqe.com/photo/467.2.jpeg?39058ec4,"The provided image shows a dirt road with a significant amount of mud and rocks on both sides. The road appears to be unpaved and has a rough texture, with tire tracks visible in the mud. 

The road is flanked by green grass and bushes on either side, which suggests that the area is rural or semi-rural. However, the presence of mud and rocks on the road indicates that it may not be well-maintained or regularly used.

The image also shows a few trees in the background, which adds to the rural or natural setting of the area. 

Overall, the image suggests that the road is in a state of disrepair and may be difficult to navigate, especially for vehicles that are not designed for off-road use. 

This information can be used to assess the severity of the problem and prioritize the maintenance or repair of the road.",8,2024-05-01,Rubbish
