web-scraper-order,web-scraper-start-url,complaint,complaint-href,title,user_text,images-src,municipality,complaint_number,image_url,complaint_en,title_en,user_text_en,date_created,date_modified,image_description,complaint_severity,category
1731179571-1,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          18:50,  7 Mar 2017,                 Përditësimi i fundit 16:00,  9 Mar 2017",https://ndreqe.com/report/171,"Raportuar në kategorinë Ndriçim publik nga anonim në 18:50, Mar  7 mars 2017","*Rruga ne lokacionin e shenuar nuk eshte shtruar, nuk eshte emertuar e as nuk eshte pajisur me ndriqim publik. lIdhur me kete kam bere kerkese ne komune por ende nuk kam marr pergjigje.",/photo/171.0.jpeg?876fef51,Prishtinës,171,https://ndreqe.com/photo/171.0.full.jpeg?876fef51,"Public Domain 18:50, 7 Mar 2017, Last Update 16:00, 9 Mar 2017","Reported in Public Illumination category by anonymous at 18:50, Tue Mar 7 2017","The street with the designated location is not paved, not named and not equipped with public lighting. Regarding this, I have made a request to the commune but I have not received a response yet.",2017-03-07 18:50:00,2017-03-09 16:00:00,"The image shows a map of a municipality in Kosovo, with a red line indicating a street that is not paved, not named, and not equipped with public lighting. The street is located in a rural area, surrounded by fields and houses.

The yellow text on the map highlights the issue with the street, stating that it is not paved, not named, and not equipped with public lighting. The map also shows the location of several other streets and buildings in the area.

The image suggests that the municipality has not provided adequate infrastructure for the residents of this area, including proper road maintenance and lighting. This could be a significant issue for residents, particularly at night when it may be difficult to navigate the unpaved street.

Overall, the image appears to be a complaint made by a resident of the municipality, highlighting a problem with the local infrastructure. The image is likely to be used as evidence to support the complaint and to prompt action from the municipality to address the issue.",6,Public Lighting
1731179574-2,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          17:09, 10 Mar 2017,                 Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.0.jpeg?eefb909c,Prishtinës,189,https://ndreqe.com/photo/189.0.full.jpeg?eefb909c,"Public domain 17:09, 10 Mar 2017, Last update 08:37, 17 Mar 2017","Reported in the Public Lighting category by anonymous at 17:09, Pre 10 March 2017",The light does not work since it was installed.,2017-03-10 17:09:00,2017-03-17 08:37:00,"The image shows a utility pole with a solar-powered streetlight attached to it, but the light is not functioning. The pole is situated in a field, with houses visible in the background. The sky above is overcast.

The problem with the streetlight is that it has not been working since it was installed. This could be due to a variety of reasons such as a faulty electrical connection, a broken light bulb, or a malfunctioning solar panel. The fact that the light has not been working for an extended period suggests that it may have been damaged or neglected.

This issue could disrupt residents in the area in several ways:

1. Safety: The lack of lighting at night can make it difficult for pedestrians to navigate the area, increasing the risk of accidents.
2. Aesthetics: A non-functional streetlight can be an eyesore and detract from the overall appearance of the neighborhood.
3. Property values: A well-lit area can be more attractive to potential buyers and renters, so a non-functional streetlight could negatively impact property values.
4. Crime: Poor lighting can create an environment conducive to criminal activity, as it makes it easier for perpetrators to remain anonymous.

Overall, the non-functional streetlight is a significant issue that needs to be addressed to ensure the safety, aesthetics, and property values of the area.",7,Public Lighting
1731179574-3,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          17:09, 10 Mar 2017,                 Përditësimi i fundit 08:37, 17 Mar 2017",https://ndreqe.com/report/189,"Raportuar në kategorinë Ndriçim publik nga anonim në 17:09, Pre 10 mars 2017",Drita nuk punon prej se eshte instaluar.,/photo/189.1.jpeg?dd7ac08d,Prishtinës,189,https://ndreqe.com/photo/189.1.jpeg?dd7ac08d,"Public release 17:09, 10 Mar 2017, Last update 08:37, 17 Mar 2017","Reported in the Public Lighting category by anonymous at 17:09, Fri 10 Mar 2017",The light does not work since it was installed.,2017-03-10 17:09:00,2017-03-17 08:37:00,"The image shows a streetlight with a broken light fixture, attached to a pole. The light fixture is positioned at the top of the pole and is held in place by two wires that extend from the pole to the light fixture. The light fixture is rectangular in shape and appears to be made of metal or plastic. It is not illuminated, suggesting that it is not functioning properly.

The pole supporting the light fixture is made of wood and has a rough, weathered appearance. It is likely that the pole has been exposed to the elements for an extended period, which may have contributed to the damage to the light fixture.

The wires connecting the light fixture to the pole are thin and appear to be made of metal. They are attached to the pole using small metal brackets, which are securely fastened to the pole. The wires are not damaged, but they do appear to be worn and frayed in some areas, suggesting that they may be in need of replacement.

Overall, the image suggests that the streetlight has been out of service for some time, and that the light fixture has been damaged. The extent of the damage is not clear from the image alone, but it is likely that the light fixture will need to be replaced in order for the streetlight to function properly again.",7,Public Lighting
1731179577-4,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          04:57,  2 Pri 2017,                 Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.0.jpeg?e7281615,Prishtinës,365,https://ndreqe.com/photo/365.0.full.jpeg?e7281615,"Page protected 04:57, 2 Apr 2017, Last updated 09:22, 3 Apr 2017","Reported in Public Lighting category by anonymous at 04:57, Sun  2 Apr 2017",Ferid Curri Street does not have public lighting!,2017-04-02 04:57:00,2017-04-03 09:22:00,"The image shows a dark street at night with no public lighting. The street is surrounded by houses and buildings, but the lack of lighting makes it difficult to see any details. The darkness is so severe that it's hard to make out any features on the street or the surrounding area.

The absence of public lighting on Ferid Curri Street could be a significant issue for residents, particularly at night when visibility is crucial for safety and navigation. Without adequate lighting, pedestrians and drivers may struggle to see obstacles or hazards on the street, increasing the risk of accidents. Additionally, the lack of lighting could also make the area feel less secure, which could deter people from using the street or visiting the surrounding businesses.

Overall, the image suggests that the municipality complaint about the lack of public lighting on Ferid Curri Street is a valid concern that needs to be addressed to ensure the safety and well-being of residents and visitors.",7,Public Lighting
1731179577-5,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Ndriçim publik          04:57,  2 Pri 2017,                 Përditësimi i fundit 09:22,  3 Pri 2017",https://ndreqe.com/report/365,"Raportuar në kategorinë Ndriçim publik nga anonim në 04:57, Die  2 prill 2017",*Rruga Ferid Curri nuk ka fare ndriçim publik!,/photo/365.1.jpeg?6898da66,Prishtinës,365,https://ndreqe.com/photo/365.1.jpeg?6898da66,"Public domain 04:57, 2 Apr 2017, Last updated 09:22, 3 Apr 2017","Reported in the Public lighting category by an anonymous person at 04:57, Sun  2 April 2017",Ferid Curri Street has no public lighting!,2017-04-02 04:57:00,2017-04-03 09:22:00,"The image depicts a nighttime scene of a road with a dark foreground and a distant building illuminated by streetlights. The road is the main focus of the image, with a dark, empty road stretching across the bottom half of the frame. The road appears to be a highway or major road, given its size and the presence of a median strip in the center.

In the background, there is a large building with a flat roof and a few windows. The building is illuminated by streetlights, which are casting a warm glow over the surrounding area. There are also several cranes visible in the distance, suggesting that construction or development is taking place in the area.

The overall atmosphere of the image is one of darkness and desolation, with the only light coming from the streetlights and the building. This suggests that the area may be poorly lit, which could be a concern for residents or visitors who may feel unsafe at night.

Based on the image, I would assess the severity of the problem as follows:

* The lack of public lighting on Ferid Curri Street is a significant concern, as it could pose a safety risk to residents and visitors who may need to navigate the area at night.
* The presence of construction cranes in the background suggests that the area is undergoing development, which could lead to increased traffic and pedestrian activity in the area.
* The image does not provide any information about the specific location or context of the complaint, which could be important in determining the severity of the problem.

Overall, the image suggests that the lack of public lighting on Ferid Curri Street is a serious issue that requires attention from local authorities.",7,Public Lighting
1731179581-6,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina          12:06,  4 Pri 2017,                 Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.0.jpeg?1117bcd2,Prishtinës,402,https://ndreqe.com/photo/402.0.full.jpeg?1117bcd2,"Mbeturina 12:06, 4 Apr 2017, Last update 09:53, 19 Apr 2017","Reported in category Litter by anonymous at 12:06, Apr 4 2017","Due to the garbage accumulation in this place I have informed the commune at least 3 times. A commune official visited the site and promised that he will officially inform me about the commune's intended actions. So far I have not received such a response (an explanation that it is someone else's property and that the commune does not have the ""right"" to clean someone else's land was given to me over the phone. No maintenance, cleaning of the area or any further action has been taken. Meanwhile, this settlement urgently needs a road (for access to the object) as well as a pedestrian crossing due to the danger of crossing the road in this part!",2017-04-04 12:06:00,2017-04-19 09:53:00,"The image depicts a municipal complaint in Kosovo, showcasing a significant issue with litter accumulation in a residential area. The photograph captures a large pile of trash on the ground, including plastic bags, cardboard boxes, and other debris, scattered across the grassy area. In the background, a multi-story apartment building stands, with a few cars parked in front of it.

The complaint was submitted by an anonymous individual who has reported the issue to the commune at least three times. Despite their efforts, no action has been taken to address the problem. The resident has expressed frustration with the lack of response from the commune, citing that they were informed that the commune does not have the authority to clean the land as it belongs to someone else.

Furthermore, the resident has highlighted the need for a road and pedestrian crossing in the area due to the danger of crossing the road. The accumulation of trash and the absence of basic infrastructure have created a hazardous environment for residents, making it difficult for them to navigate the area safely.

Overall, the image presents a clear example of a municipal issue that requires attention and resolution. The severity of the problem is evident in the amount of litter and the lack of infrastructure, highlighting the need for effective waste management and community development initiatives in the area.",8,Rubbish
1731179581-7,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Mbeturina          12:06,  4 Pri 2017,                 Përditësimi i fundit 09:53, 19 Pri 2017",https://ndreqe.com/report/402,"Raportuar në kategorinë Mbeturina nga anonim në 12:06, Mar  4 prill 2017","*Per hudhjen e mbeturinave ne kete vend kam njoftuar komunen se paku 3 here. Zyrtari i komunes ka vizituar vendin dhe ka premtuar se do te me njoftoje zyrtarisht per veprimet e metutjeshme te komunes. Deri me tani une nuk kam pranuar pergjigjje te tille (nje arsyetim se qenka prone e dikujt tjeter dhe se komuna nuk ""paska te drejte"" te pastroje token e huaj me eshte dhene permes telefonit. Asnje mirembajtje, sanim i ketij demi apo ndonje hap i metejshem nuk eshte nderrmare. Perndryshe ky vendbanim eshte ne nevoje urgjente edhe te nje rruge (per qasje ne objekt) si dhe per nje vendkalim te ngritur te kembesoreve per shkak te rrezikut te kalimit te rruges ne kete pjese!",/photo/402.1.jpeg?97050349,Prishtinës,402,https://ndreqe.com/photo/402.1.jpeg?97050349,"Last edited by Mbeturina 12:06, 4 Apr 2017, Last update 09:53, 19 Apr 2017","Reported in Rubbish category by anonymous at 12:06, Mar 4 2017","Regarding the dumping of waste in this area, I have notified the commune at least 3 times. The commune official visited the site and promised to inform me officially about the commune's intended actions. So far, I have not received such a response (an explanation that it's someone else's property and that the commune does not have the ""right"" to clean someone else's land was given to me over the phone. No maintenance, cleaning of this area or any further action has been taken. Moreover, this settlement urgently needs a road (for access to the object) as well as a pedestrian crossing due to the risk of crossing the road in this part!",2017-04-04 12:06:00,2017-04-19 09:53:00,"The image shows a municipal complaint in Kosovo, where a large pile of trash has been dumped in an area that appears to be a residential neighborhood. The trash is scattered across the ground, with some items visible, including what looks like a large orange dumpster and a gray metal container. In the background, there are several multi-story buildings, suggesting that this is a residential area.

The presence of trash in this area is likely to be a nuisance for residents, who may be concerned about the health and safety implications of living near a large pile of waste. The fact that the commune has been notified multiple times and has not taken any action to clean up the area suggests that there may be a lack of effective waste management in this region.

Furthermore, the lack of a road and pedestrian crossing in this area poses a risk to pedestrians who need to cross the road to access the object. This is particularly concerning given the presence of the large pile of trash, which could potentially attract pests or create other hazards.

Overall, the image suggests that there are significant issues with waste management and infrastructure in this area of Kosovo, which could have negative impacts on the health, safety, and quality of life of residents.",8,Rubbish
1731179584-8,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.0.jpeg?adea76f1,Prishtinës,467,https://ndreqe.com/photo/467.0.full.jpeg?adea76f1,"Hole in the road 07:56, 17 Apr 2017, Last update 11:36, 19 Apr 2017","Reported in category Pothole by anonymous at 07:56, Mon 17 April 2017","The street of Sejdiu neighborhood, Rimanishte... has been promised for three years in a row that it will be fixed... all the measurements have been taken, the landowners' approvals have been given, all the requests and signatures have been made... so far nothing but promises... this street serves around 130 families of the village who use it for agricultural work as well as 15 families who live there and have houses... currently it's almost impassable with small cars due to the frequent passage of tractors from the whole village... it's impossible for us to live in this place, if the solution isn't fixed, the only solution left for us is to sell our houses and land and leave... it's a long street, about 550 meters.",2017-04-17 07:56:00,2017-04-19 11:36:00,"The image shows a dirt road in a rural area, with a significant amount of potholes and uneven terrain. The road is surrounded by trees and greenery, and appears to be in a state of disrepair.

*   **Potholes and Uneven Terrain**
    *   The road has numerous potholes, some of which are quite large.
    *   The terrain is uneven, with parts of the road being higher or lower than others.
    *   This makes it difficult for vehicles to navigate the road safely.
*   **Trees and Greenery**
    *   The road is lined with trees and greenery on both sides.
    *   The trees are overgrown and appear to be blocking the view of the road ahead.
    *   The greenery is dense and makes it difficult to see any obstacles on the road.
*   **Rural Setting**
    *   The road is located in a rural area, surrounded by fields and farmland.
    *   The houses in the area are small and appear to be in a state of disrepair.
    *   The overall atmosphere is one of neglect and abandonment.

Overall, the image suggests that the road is in a state of disrepair and poses a significant hazard to drivers. The potholes and uneven terrain make it difficult to navigate the road safely, and the overgrown trees and greenery make it difficult to see any obstacles on the road. The rural setting and small houses suggest that the area is economically disadvantaged and may not have the resources to repair the road.",8,Pothole in the Road
1731179584-9,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.1.jpeg?4ea62fba,Prishtinës,467,https://ndreqe.com/photo/467.1.jpeg?4ea62fba,"Hole in the road 07:56, 17 Apr 2017, Last update 11:36, 19 Apr 2017","Reported in the Pothole category by an anonymous person at 07:56, Mon 17 April 2017","The road of Sejdiu neighborhood, Rimanishte.. has been promised for three years in a row that it will be regulated... all measurements have been taken, the landowners' consents have been given, all requests and signatures have been made... so far nothing but promises... this road serves around 130 families of the village who use it for agricultural work as well as 15 families who live there and have homes... at the moment, it is impassable with small cars due to the high frequency of tractors from the whole village... our life in this place is impossible, if the solution is not regulated, the only solution left for us is to sell our homes and lands and leave... it is a long road, about 550 meters.",2017-04-17 07:56:00,2017-04-19 11:36:00,"The image depicts a dirt road in a rural area, characterized by a muddy and uneven surface with potholes and puddles. The road is surrounded by grass and trees on either side, and appears to be unpaved. The presence of tractors and the difficulty in traversing the road with small cars suggests that the road is frequently used for agricultural purposes. The image also shows the road's length, approximately 550 meters, which indicates that it is a significant distance and may be challenging to navigate.

Based on the description provided, it is clear that the road is in a state of disrepair and is causing difficulties for the residents who use it. The fact that the road has been promised to be regulated for three years but no action has been taken suggests a lack of attention to the needs of the community. The image serves as evidence of the poor condition of the road and the impact it has on the daily lives of the residents.

Overall, the image effectively conveys the severity of the problem and the need for immediate attention to resolve the issue. The description provided by the resident highlights the challenges they face and the potential consequences of not addressing the problem, such as being forced to sell their homes and lands.",8,Pothole in the Road
1731179584-10,https://ndreqe.com/reports/Komuna+e+Prishtin%C3%ABs?t=unfixed,"Gropë n'rrugë          07:56, 17 Pri 2017,                 Përditësimi i fundit 11:36, 19 Pri 2017",https://ndreqe.com/report/467,"Raportuar në kategorinë Gropë n'rrugë nga anonim në 07:56, H�n 17 prill 2017","*rruga e lagjes Sejdiu, Rimanishte.. eshte premtuar qe tri vite rresht se do te rregullohet... jane kry matjet, jane dhan pelqimet e pronarve te tokave, jane deezu te gjitha kerkesat dhe nenshkrimet... deri me tani asgje perveq premtimeve... kjo rruge u sherben rreth 130 familjeve fshatit qe shfrytzojne per punet e bujqesise si dhe 15 familjeve qe jetojne aty dhe kane shtepite... momentalisht me vetura te vogla eshte e pakalushme pershkak frekuentimit te madh te traktorve nga gjithe fshati...na eshte pamundesu jeta ne kete vend, nese nuk rregullohet zgjidhja e vetme na mbetet me i shit shtepit dhe tokat dhe me dal prej aty.... eshte rruge e gjate rreth 550 metra.",/photo/467.2.jpeg?39058ec4,Prishtinës,467,https://ndreqe.com/photo/467.2.jpeg?39058ec4,"Hole on the road 07:56, 17 Apr 2017, Last update 11:36, 19 Apr 2017","Reported in category Pothole by anonymous at 07:56, Mon 17 April 2017","The street of Sejdiu neighborhood, Rimanishte... has been promised for three years in a row that it will be regulated... the measurements have been taken, the landowners' approvals have been given, all the requests and signatures have been made... so far nothing but promises... this road serves around 130 families of the village who use it for agricultural work as well as 15 families who live there and have houses... currently it is impassable with small cars due to the high frequency of tractors from the whole village... our life in this place is impossible if the solution is not regulated, the only solution left for us is to sell the houses and the land and leave... it is a long road of about 550 meters.",2017-04-17 07:56:00,2017-04-19 11:36:00,"The image shows a dirt road in a rural area, with a large pothole on the left side of the road. The road is unpaved and has a rough texture, with rocks and debris scattered along its length. The pothole is particularly large and deep, with a significant amount of mud and water accumulated in it. The surrounding area is overgrown with vegetation, including grass, weeds, and small trees.

The road appears to be in poor condition, with visible signs of wear and tear, such as cracks and unevenness. The pothole is likely to cause damage to vehicles that drive over it, and may also pose a hazard to pedestrians and cyclists who use the road.

The image suggests that the road has not been properly maintained, and that the pothole has been allowed to form and grow over time. This is likely to be a source of frustration for residents who use the road, particularly those who rely on it for daily transportation.

Overall, the image presents a clear example of a municipal maintenance issue that requires attention and resolution. The pothole is a significant hazard that needs to be addressed in order to ensure the safety and well-being of road users.",8,Pothole in the Road
